Location,White,Black,Hispanic,Asian,Native,Pacific,Multiple
United States,191757100,38872200,59102900,18007200,2125700,528200,8856100
Alabama,3117200,1263500,211700,65200,18800,0,89200
Alaska,421100,15200,48900,42000,106000,10400,58200
Arizona,3843700,306600,2254800,231000,276100,12500,173400
Arkansas,2108400,444200,226800,45500,16700,10800,70100
California,14047400,2066300,15271400,5691100,138800,137000,1290700
Colorado,3804100,211100,1221900,180300,29400,6200,158700
Connecticut,2268200,346400,583300,158600,5600,0,90100
Delaware,577700,205100,91100,36900,3000,0,26300
District of Columbia,246100,302400,75200,25200,1800,0,20500
Florida,11119200,3150100,5583900,573500,39900,12200,513300
Georgia,5354500,3225900,1011800,422400,19700,5800,253900
Hawaii,274400,16400,137900,528600,1600,136900,247200
Idaho,1429500,11500,225600,21600,15900,0,44800
Illinois,7522700,1679900,2177500,695500,11300,3000,272500
Indiana,5116000,600500,471000,158800,12300,0,151300
Iowa,2610600,119200,191600,71600,8800,1000,57400
Kansas,2128700,153300,341900,79900,17500,0,89100
Kentucky,3648500,344900,160800,70400,4900,0,87500
Louisiana,2643900,1433000,235800,76600,21600,0,86900
Maine,1213500,17800,21900,14500,9700,0,24600
Maryland,2934100,1741500,624500,373300,12400,0,188100
Massachusetts,4687000,466200,824100,448000,12000,2600,210800
Michigan,7316400,1305100,514600,315900,47100,0,264900
Minnesota,4361600,353700,307300,272500,50900,0,165900
Mississippi,1622400,1078300,85900,28600,11000,0,40700
Missouri,4715000,667100,253900,122500,21200,8200,152000
Montana,895200,5900,38300,7900,62900,0,28700
Nebraska,1470900,89200,212200,45200,14800,0,40200
Nevada,1448800,279000,888400,257500,26700,17500,111900
New Hampshire,1179700,17600,51500,34800,0,0,27600
New Jersey,4738500,1081400,1822900,836400,8800,0,209000
New Mexico,750000,35000,1010200,32900,176600,0,36000
New York,10432200,2651600,3649800,1625500,39100,0,507900
North Carolina,6355400,2124200,987900,294400,112600,4800,260600
North Dakota,614600,17900,29400,10400,38000,0,19100
Ohio,8918300,1380000,452300,260500,15800,0,321400
Oklahoma,2488200,262800,424600,78900,295000,4600,272800
Oregon,3097700,72900,553400,192000,38900,10900,163100
Pennsylvania,9401500,1282000,960500,438000,14200,2300,279200
Rhode Island,717300,60300,169100,34000,2300,0,33900
South Carolina,3177000,1307200,285200,84100,14300,0,108300
South Dakota,697500,18800,31400,11000,71500,0,20500
Tennessee,4884500,1088500,378900,120600,17200,0,148700
Texas,11637100,3297200,11300500,1409700,76800,19000,545800
Utah,2452300,32600,455000,72800,31100,25800,84400
Vermont,555100,6700,10600,9700,4000,0,11900
Virginia,5017100,1543100,787100,551900,13600,3900,268300
Washington,5013200,282700,964700,662400,82400,47400,371100
West Virginia,1609000,55900,24800,14200,3900,0,31200
Wisconsin,4602500,349200,401700,169100,37400,0,114100
Wyoming,471600,5400,57100,3400,12300,0,12000
Puerto Rico,42600,3100,3106600,0,0,0,9100